IPO Name,GMP Numeric,GMP %,Data Date,Data Time,Last Updated
Northbridge Logistics Ltd.,11.0,8.1,2026-08-28,18:35:39,2026-08-28 18:35:39
Sundial Renewables Ltd.,34.0,11.8,2026-08-28,18:35:39,2026-08-28 18:35:39
Harborline Foods Ltd.,8.0,13.3,2026-08-28,18:35:39,2026-08-28 18:35:39
ClearPeak Pharmaceuticals Ltd.,88.0,13.7,2026-08-28,18:35:39,2026-08-28 18:35:39
Vertex Electronics Ltd.,62.0,14.4,2026-08-28,18:35:39,2026-08-28 18:35:39
KavachTech Systems Ltd.,19.0,21.6,2026-08-28,18:35:39,2026-08-28 18:35:39
Sundial Renewables Ltd.,34.0,11.8,2026-08-28,18:22:18,2026-08-28 18:22:18
Northbridge Logistics Ltd.,11.0,8.1,2026-08-28,18:22:18,2026-08-28 18:22:18
KavachTech Systems Ltd.,19.0,21.6,2026-08-28,18:22:18,2026-08-28 18:22:18
Vertex Electronics Ltd.,62.0,14.4,2026-08-28,18:22:18,2026-08-28 18:22:18
ClearPeak Pharmaceuticals Ltd.,88.0,13.7,2026-08-28,18:22:18,2026-08-28 18:22:18
Harborline Foods Ltd.,8.0,13.3,2026-08-28,18:22:18,2026-08-28 18:22:18
Northbridge Logistics Ltd.,11.0,8.1,2026-08-28,18:21:02,2026-08-28 18:21:02
Sundial Renewables Ltd.,34.0,11.8,2026-08-28,18:21:02,2026-08-28 18:21:02
Harborline Foods Ltd.,8.0,13.3,2026-08-28,18:21:02,2026-08-28 18:21:02
ClearPeak Pharmaceuticals Ltd.,88.0,13.7,2026-08-28,18:21:02,2026-08-28 18:21:02
KavachTech Systems Ltd.,19.0,21.6,2026-08-28,18:21:02,2026-08-28 18:21:02
Vertex Electronics Ltd.,62.0,14.4,2026-08-28,18:21:02,2026-08-28 18:21:02
Vertex Electronics Ltd.,62.0,14.4,2026-08-28,18:07:48,2026-08-28 18:07:48
Sundial Renewables Ltd.,34.0,11.8,2026-08-28,18:07:48,2026-08-28 18:07:48
Northbridge Logistics Ltd.,11.0,8.1,2026-08-28,18:07:48,2026-08-28 18:07:48
KavachTech Systems Ltd.,19.0,21.6,2026-08-28,18:07:48,2026-08-28 18:07:48
Harborline Foods Ltd.,8.0,13.3,2026-08-28,18:07:48,2026-08-28 18:07:48
ClearPeak Pharmaceuticals Ltd.,88.0,13.7,2026-08-28,18:07:48,2026-08-28 18:07:48
