IPO Name,GMP,GMP %,GMP Down,GMP Up,Subscription,IPO Price,IPO Size,Lot Size,Open,Close,BOA Date,Listing Date,Updated,Anchor,Estimated Listing Price,Calculated GMP %,Rating,Raw GMP,Raw Price,Scraped At
ABH Healthcare NSE SMEC,0.0,0.0,0.0,0.0,1.44,102.0,₹34.98 Cr,1200.0,24-Aug GMP: 0,27-Aug GMP: 0,28-Aug,1-Sep,28-Aug 12:34,❌,102.0,0.0,🔥,₹-- (0.00%) 0 ↓ / 0 ↑,102,2026-08-28 07:21:53
Annu Projects IPOCT,3.75,3.79,3.75,7.0,1.71,99.0,₹175.06 Cr,151.0,25-Aug GMP: 0,28-Aug GMP: 3.75,31-Aug,2-Sep,28-Aug 12:35,❌,102.75,3.79,🔥,₹3.75 (3.79%) 3.75 ↓ / 7 ↑,99,2026-08-28 07:21:53
Ashutosh Fibre NSE SMEU,37.0,40.22,13.0,37.0,,92.0,₹56.35 Cr,1200.0,31-Aug,2-Sep,3-Sep,7-Sep,28-Aug 12:32,✅,129.0,40.22,🔥🔥🔥🔥,₹37 (40.22%) 13 ↓ / 37 ↑,92,2026-08-28 07:21:53
Augmont Enterprises,285.0,36.17,190.0,395.0,111.18,788.0,₹825.00 Cr,19.0,21-Aug GMP: 310,25-Aug GMP: 315,27-Aug,31-Aug,28-Aug 12:30,✅,1073.0,36.17,🔥🔥🔥🔥,₹285 (36.17%) 190 ↓ / 395 ↑,788,2026-08-28 07:21:53
Complete Sports and Management BSE SMEO,0.0,0.0,0.0,0.0,0.03,135.0,₹74.93 Cr,1000.0,28-Aug GMP: 0,1-Sep,2-Sep,4-Sep,28-Aug 12:34,✅,135.0,0.0,🔥,₹-- (0.00%) 0 ↓ / 0 ↑,135,2026-08-28 07:21:53
Deepa Jewellers IPOU,47.0,26.55,47.0,47.0,,177.0,₹459.72 Cr,84.0,1-Sep,3-Sep,4-Sep,8-Sep,28-Aug 12:35,✅,224.0,26.55,🔥🔥🔥🔥,₹47 (26.55%) 47 ↓ / 47 ↑,177,2026-08-28 07:21:53
Dhanwel Hybrid Seeds BSE SMEL@99.00 (0%),1.0,1.01,1.0,12.0,1.65,99.0,₹26.73 Cr,1200.0,19-Aug GMP: 12,21-Aug GMP: 1,24-Aug,26-Aug GMP: 1,26-Aug 9:37,❌,100.0,1.01,🔥,₹1 (1.01%) 1 ↓ / 12 ↑,99,2026-08-28 07:21:53
ESDS Software Solution IPOO,320.0,74.59,275.0,365.0,1.12,429.0,₹720.00 Cr,34.0,28-Aug GMP: 320,1-Sep,2-Sep,4-Sep,28-Aug 12:32,✅,749.0,74.59,🔥🔥🔥🔥🔥,₹320 (74.59%) 275 ↓ / 365 ↑,429,2026-08-28 07:21:53
Farm Peace BSE SMEU,0.0,0.0,0.0,0.0,,59.0,₹32.00 Cr,2000.0,1-Sep,3-Sep,4-Sep,8-Sep,28-Aug 12:31,❌,59.0,0.0,🔥,₹-- (0.00%) 0 ↓ / 0 ↑,59,2026-08-28 07:21:53
Fascinate Textiles NSE SMECALLOTTED,0.0,0.0,0.0,0.0,1.48,151.0,₹64.83 Cr,800.0,11-Aug GMP: 0,19-Aug GMP: 0,20-Aug,24-Aug GMP: 0,28-Aug 5:55,❌,151.0,0.0,🔥,₹-- (0.00%) 0 ↓ / 0 ↑,151,2026-08-28 07:21:53
Gaja Alternative Asset Management IPOL@185.00 (15.62%),18.5,11.56,7.0,30.0,32.98,160.0,₹550.00 Cr,93.0,19-Aug GMP: 23,21-Aug GMP: 19,24-Aug,26-Aug GMP: 18.5,26-Aug 9:34,✅,178.5,11.56,🔥🔥🔥,₹18.5 (11.56%) 7 ↓ / 30 ↑,160,2026-08-28 07:21:53
Horizon Industrial Parks IPOL@60.25 (0.42%),1.5,2.5,1.0,4.5,1.52,60.0,₹2600.04 Cr,250.0,17-Aug GMP: 1.7,19-Aug GMP: 1.3,20-Aug,24-Aug GMP: 1.5,24-Aug 9:37,✅,61.5,2.5,🔥,₹1.5 (2.50%) 1 ↓ / 4.50 ↑,60,2026-08-28 07:21:53
Hy-Tech Engineers IPOC,45.0,84.91,5.0,45.0,247.39,53.0,₹135.73 Cr,283.0,24-Aug GMP: 30,27-Aug GMP: 45,28-Aug,1-Sep,28-Aug 12:32,✅,98.0,84.91,🔥🔥🔥🔥🔥,₹45 (84.91%) 5 ↓ / 45 ↑,53,2026-08-28 07:21:53
Kwick Forensic Solutions BSE SMEO,64.0,71.11,15.0,64.0,13.84,90.0,₹50.77 Cr,1600.0,27-Aug GMP: 64,31-Aug,1-Sep,3-Sep,28-Aug 12:34,✅,154.0,71.11,🔥🔥🔥🔥🔥,₹64 (71.11%) 15 ↓ / 64 ↑,90,2026-08-28 07:21:53
Lalithaa Jewellery Mart IPOL@265.00 (31.84%),74.0,36.82,17.0,77.0,66.63,201.0,₹1700.00 Cr,74.0,17-Aug GMP: 30,19-Aug GMP: 54,20-Aug,24-Aug GMP: 74,24-Aug 9:33,✅,275.0,36.82,🔥🔥🔥🔥,₹74 (36.82%) 17 ↓ / 77 ↑,201,2026-08-28 07:21:53
Lumino Industries IPOO,56.5,68.9,46.0,56.5,3.22,82.0,₹700.00 Cr,182.0,27-Aug GMP: 56,31-Aug,1-Sep,3-Sep,28-Aug 12:32,✅,138.5,68.9,🔥🔥🔥🔥🔥,₹56.5 (68.90%) 46 ↓ / 56.50 ↑,82,2026-08-28 07:21:53
Madhur Knit NSE SMEC,2.0,2.0,2.0,16.0,1.5,100.0,₹53.27 Cr,1200.0,24-Aug GMP: 16,27-Aug GMP: 2,28-Aug,1-Sep,28-Aug 12:28,✅,102.0,2.0,🔥,₹2 (2.00%) 2 ↓ / 16 ↑,100,2026-08-28 07:21:53
